,0
2012-05-21 12:00:00,10134.996624999885
2012-05-21 15:00:00,12405.17911301878
2012-06-19 14:00:00,12095.05738843029
2012-11-14 15:00:00,12554.658078886045
2012-11-14 20:00:00,13044.277503170975
2012-11-14 21:00:00,13611.68938890708
2012-11-14 23:00:00,14319.479541933995
2012-11-16 08:00:00,16266.880073406457
2013-01-22 12:00:00,16730.474565346456
2013-02-07 05:00:00,16956.33032544346
2013-02-07 09:00:00,16532.432665013876
2013-02-11 10:00:00,16119.13218115899
2013-04-04 06:00:00,15716.163951087672
2013-04-11 08:00:00,15323.269674912994
2013-04-11 09:00:00,14940.197510083757
2013-05-16 13:00:00,14566.701909955149
2013-05-21 10:00:00,14202.543466395004
2013-07-11 18:00:00,15146.988995181797
2013-07-11 19:00:00,16472.317398221883
2013-08-09 12:00:00,17460.631733639173
2013-08-11 22:00:00,17416.98124559466
2013-08-11 23:00:00,16981.56760006812
2013-08-19 09:00:00,18093.83247055557
2013-09-04 09:00:00,19269.90217866399
2013-09-04 14:00:00,18788.166667886304
2013-10-03 14:00:00,18318.474243793364
2013-10-03 15:00:00,17897.15986930869
2013-10-03 17:00:00,17834.521375767585
2013-10-03 20:00:00,18824.312566724424
2013-10-09 02:00:00,18485.48341146412
2013-10-09 04:00:00,18198.965581711218
2013-11-01 11:00:00,18835.913452976358
2013-11-13 15:00:00,18365.027389097908
2014-02-05 09:00:00,18576.21992412732
2014-03-12 08:00:00,19179.931978482804
2014-03-13 09:00:00,19429.264860725118
2014-03-18 07:00:00,20789.279399762436
2014-03-18 10:00:00,22431.591413516766
2014-04-01 18:00:00,22487.668990075963
2014-04-29 14:00:00,24275.39398054486
2014-05-06 03:00:00,23668.524303152542
2014-07-11 12:00:00,23301.671348006545
2014-08-08 00:00:00,22719.14412785104
2014-08-08 01:00:00,23525.653581149323
2014-08-12 01:00:00,22937.526945154143
2014-08-12 02:00:00,22364.103107479692
2014-08-26 16:00:00,21805.014507357202
2014-12-29 01:00:00,21914.036854267164
2015-02-24 17:00:00,22757.70618089615
2015-03-17 10:00:00,22188.777749940175
2015-03-24 18:00:00,22421.754091760435
2015-03-24 23:00:00,26580.88549489751
2015-03-30 06:00:00,30421.727425461428
2015-03-30 10:00:00,29661.203253404616
2015-04-30 13:00:00,30358.22410390267
2015-05-11 10:00:00,30768.04988340471
2015-05-27 01:00:00,37706.07167723094
2015-08-07 12:00:00,36763.44345159507
2015-09-30 09:00:00,35844.38034245745
2015-11-04 17:00:00,34948.29323663383
2015-11-04 18:00:00,38687.66712626929
2016-01-21 11:00:00,37720.49962790462
2016-01-21 12:00:00,36777.510712519375
2016-01-21 13:00:00,61472.99175351515
2016-04-01 03:00:00,70017.52398860743
2016-05-27 08:00:00,72258.02874222436
2016-05-27 11:00:00,70451.6231849369
2016-06-29 07:00:00,71614.0459061936
2016-06-29 07:00:00,72795.64812285165
2016-06-29 08:00:00,73996.74628867363
2016-06-29 08:00:00,75217.66207877868
2016-06-29 09:00:00,73337.26753784822
2016-06-29 09:00:00,71503.88168519443
2016-08-10 14:00:00,69716.32933299082
2016-08-10 15:00:00,73271.77324065352
2016-09-20 14:00:00,83346.39018952298
2016-11-02 07:00:00,82179.56989810598
2016-11-02 08:00:00,81275.617228609
2016-11-02 10:00:00,79243.77759515477
2016-11-29 15:00:00,81937.99867618001
2016-11-29 16:00:00,85174.4687101157
2016-12-02 18:00:00,83045.16022640599
2016-12-02 19:00:00,80969.08312397121
2016-12-22 15:00:00,80888.11606507469
2016-12-22 18:00:00,78865.96371852058
2016-12-22 19:00:00,77406.97986523711
2016-12-22 21:00:00,76671.63194067542
2016-12-23 00:00:00,78435.03538912308
2017-01-29 23:00:00,80278.21264018407
2017-02-23 09:00:00,87623.48546034949
2017-02-23 11:00:00,85432.95308851941
2017-03-07 11:00:00,85390.23767988679
2017-03-07 14:00:00,98155.75906701674
2017-04-07 10:00:00,95701.92643769101
2017-04-07 11:00:00,93309.43809045303
