,sign,er1,er2,er3
0,-1.0,0.00020184000000017868,0.0009361599999998609,0.001099200000000198
1,-1.0,0.0016808399999999344,0.0008094400000000296,0.0005308399999999509
2,1.0,0.000809420000000191,0.0007772800000000204,0.0004529600000000057
3,1.0,0.000809420000000191,0.0007772800000000204,0.00028296000000000224
4,-1.0,0.0007756800000000199,0.0029903199999998503,0.003329559999999822
5,-1.0,0.0007756800000000199,0.0029903199999998503,0.0025195599999998444
6,-1.0,0.0007756800000000199,0.0029903199999998503,0.0023395599999997754
7,1.0,0.0015785000000000278,0.0008869599999999128,0.0005734800000001617
8,1.0,0.00039804000000018703,0.0013910800000000514,0.0015081999999996352
9,1.0,0.00020488000000002922,0.0008083199999998651,0.001062400000000352
10,-1.0,0.00034360000000004673,0.0005278000000001394,0.0009299200000000762
11,1.0,0.0002092799999999966,0.0016704000000001126,0.001571360000000346
12,-1.0,0.0002092799999999966,0.0016704000000001126,0.0011013600000001535
13,-1.0,0.0002092799999999966,0.0016704000000001126,0.0010213600000002956
14,-1.0,0.0002092799999999966,0.0016704000000001126,0.0009155999999999279
15,1.0,9.096000000005417e-05,0.0002990800000000453,0.0002743999999998837
16,1.0,0.00012911999999994182,0.0002582399999998834,0.0005250400000001722
17,1.0,0.0011234799999999404,0.0011008799999999768,0.0003222399999999329
18,1.0,0.0007833600000000322,0.0010295200000000645,0.0003403199999998732
19,-1.0,0.001252960000000078,0.001978199999999975,0.0005129600000003381
20,-1.0,0.002189779999999864,0.001608800000000023,0.0007766399999999951
21,-1.0,0.002189779999999864,0.001608800000000023,0.0007366399999999551
22,-1.0,0.002189779999999864,0.001608800000000023,0.0006766400000000061
23,-1.0,0.0007544800000000285,0.0009191600000000841,0.00020447999999997826
24,1.0,0.00038271999999987686,0.001114479999999968,0.0010344000000001245
25,1.0,0.00017831999999994973,0.0004183199999999677,0.00045208000000013585
26,1.0,0.0018300000000001431,0.0010762400000000195,0.000758400000000244
27,1.0,0.0010666799999997914,0.0013299199999998832,0.00032383999999997717
28,1.0,0.0002052000000001405,0.0010319199999998183,0.0010260000000002602
29,-1.0,0.0010604200000000968,0.0008101599999998816,0.0004409600000001403
30,1.0,0.002441400000000154,0.002647040000000124,0.0006635999999999361
