Gmt time,Open,High,Low,Close,Volume
01.01.2018 22:00:08.000,1.20102,1.20102,1.20102,1.20102,3
01.01.2018 22:00:10.000,1.20102,1.20102,1.20102,1.20102,1.5
01.01.2018 22:00:11.000,1.20102,1.20102,1.20102,1.20102,1.5
01.01.2018 22:00:29.000,1.20102,1.20102,1.20102,1.20102,1.5
01.01.2018 22:00:52.000,1.20102,1.20102,1.20102,1.20102,3
01.01.2018 22:00:56.000,1.20097,1.20100,1.20097,1.20100,2.25
01.01.2018 22:01:10.000,1.20099,1.20099,1.20099,1.20099,0.75
01.01.2018 22:01:11.000,1.20099,1.20099,1.20099,1.20099,0.75
01.01.2018 22:01:32.000,1.20090,1.20090,1.20047,1.20047,4.2
01.01.2018 22:01:33.000,1.20047,1.20047,1.20047,1.20047,1.5
01.01.2018 22:01:35.000,1.20043,1.20043,1.20041,1.20041,1.5
01.01.2018 22:01:36.000,1.20040,1.20040,1.20040,1.20040,0.75
01.01.2018 22:01:50.000,1.20023,1.20023,1.20023,1.20023,0.75
01.01.2018 22:01:51.000,1.20008,1.20008,1.20007,1.20007,1.5
01.01.2018 22:01:57.000,1.20007,1.20007,1.20007,1.20007,0.75
01.01.2018 22:02:05.000,1.20015,1.20015,1.20015,1.20015,1.5
01.01.2018 22:02:07.000,1.20025,1.20025,1.20025,1.20025,0.75
01.01.2018 22:02:10.000,1.20024,1.20024,1.20024,1.20024,0.75
01.01.2018 22:02:15.000,1.20025,1.20025,1.20025,1.20025,0.75
01.01.2018 22:02:32.000,1.20025,1.20025,1.20025,1.20025,0.75
01.01.2018 22:03:05.000,1.20024,1.20024,1.20024,1.20024,0.75
01.01.2018 22:03:09.000,1.20040,1.20040,1.20040,1.20040,0.75
01.01.2018 22:03:17.000,1.20040,1.20040,1.20040,1.20040,0.75
01.01.2018 22:03:27.000,1.20040,1.20040,1.20040,1.20040,0.75
01.01.2018 22:03:43.000,1.20041,1.20041,1.20041,1.20041,0.75
01.01.2018 22:03:44.000,1.20040,1.20040,1.20040,1.20040,0.75
01.01.2018 22:03:45.000,1.20040,1.20041,1.20040,1.20041,1.5
01.01.2018 22:03:47.000,1.20034,1.20050,1.20034,1.20034,5.250000000000001
01.01.2018 22:03:51.000,1.20030,1.20030,1.20030,1.20030,0.75
01.01.2018 22:03:58.000,1.20029,1.20029,1.20029,1.20029,3
01.01.2018 22:04:01.000,1.20032,1.20032,1.20032,1.20032,1.5
01.01.2018 22:04:04.000,1.20031,1.20035,1.20031,1.20035,2.5
01.01.2018 22:04:05.000,1.20032,1.20032,1.20031,1.20031,2.5
01.01.2018 22:04:18.000,1.20032,1.20032,1.20032,1.20032,1.5
01.01.2018 22:05:02.000,1.20031,1.20031,1.20031,1.20031,1.5
01.01.2018 22:05:06.000,1.20031,1.20031,1.20031,1.20031,1.5
01.01.2018 22:05:09.000,1.20035,1.20035,1.20035,1.20035,1.5
