Gmt time,Open,High,Low,Close,Volume
01.01.2018 00:00:00.000,1.34944,1.34944,1.34944,1.34944,0
01.01.2018 01:00:00.000,1.34944,1.34944,1.34944,1.34944,0
01.01.2018 02:00:00.000,1.34944,1.34944,1.34944,1.34944,0
01.01.2018 03:00:00.000,1.34944,1.34944,1.34944,1.34944,0
01.01.2018 04:00:00.000,1.34944,1.34944,1.34944,1.34944,0
01.01.2018 05:00:00.000,1.34944,1.34944,1.34944,1.34944,0
01.01.2018 06:00:00.000,1.34944,1.34944,1.34944,1.34944,0
01.01.2018 07:00:00.000,1.34944,1.34944,1.34944,1.34944,0
01.01.2018 08:00:00.000,1.34944,1.34944,1.34944,1.34944,0
01.01.2018 09:00:00.000,1.34944,1.34944,1.34944,1.34944,0
01.01.2018 10:00:00.000,1.34944,1.34944,1.34944,1.34944,0
01.01.2018 11:00:00.000,1.34944,1.34944,1.34944,1.34944,0
01.01.2018 12:00:00.000,1.34944,1.34944,1.34944,1.34944,0
01.01.2018 13:00:00.000,1.34944,1.34944,1.34944,1.34944,0
01.01.2018 14:00:00.000,1.34944,1.34944,1.34944,1.34944,0
01.01.2018 15:00:00.000,1.34944,1.34944,1.34944,1.34944,0
01.01.2018 16:00:00.000,1.34944,1.34944,1.34944,1.34944,0
01.01.2018 17:00:00.000,1.34944,1.34944,1.34944,1.34944,0
01.01.2018 18:00:00.000,1.34944,1.34944,1.34944,1.34944,0
01.01.2018 19:00:00.000,1.34944,1.34944,1.34944,1.34944,0
01.01.2018 20:00:00.000,1.34944,1.34944,1.34944,1.34944,0
01.01.2018 21:00:00.000,1.34944,1.34944,1.34944,1.34944,0
01.01.2018 22:00:00.000,1.35065,1.35184,1.34945,1.35112,548.88
01.01.2018 23:00:00.000,1.35111,1.35210,1.35053,1.35096,6009.8198
02.01.2018 00:00:00.000,1.35095,1.35194,1.35075,1.35125,3447.8
02.01.2018 01:00:00.000,1.35122,1.35215,1.35111,1.35129,4002.6101
02.01.2018 02:00:00.000,1.35128,1.35159,1.35080,1.35119,3945.8
02.01.2018 03:00:00.000,1.35119,1.35230,1.35119,1.35170,4032.21
02.01.2018 04:00:00.000,1.35170,1.35194,1.35121,1.35133,3466.26
02.01.2018 05:00:00.000,1.35134,1.35226,1.35130,1.35224,3694.9299
02.01.2018 06:00:00.000,1.35224,1.35254,1.35176,1.35211,5673.75
02.01.2018 07:00:00.000,1.35211,1.35370,1.35204,1.35342,10466.2305
02.01.2018 08:00:00.000,1.35341,1.35577,1.35330,1.35533,11615.0898
02.01.2018 09:00:00.000,1.35533,1.35663,1.35417,1.35482,10201.0703
02.01.2018 10:00:00.000,1.35482,1.35588,1.35396,1.35570,10498.4805
02.01.2018 11:00:00.000,1.35570,1.35613,1.35395,1.35504,10386.8398
02.01.2018 12:00:00.000,1.35505,1.35678,1.35496,1.35616,9232.2402
02.01.2018 13:00:00.000,1.35616,1.35653,1.35529,1.35573,8651.8398
02.01.2018 14:00:00.000,1.35573,1.35581,1.35446,1.35473,9528.1797
02.01.2018 15:00:00.000,1.35475,1.35848,1.35422,1.35785,10444.0801
02.01.2018 16:00:00.000,1.35783,1.35974,1.35736,1.35946,10785.5801
02.01.2018 17:00:00.000,1.35945,1.36001,1.35814,1.35842,8289.8096
02.01.2018 18:00:00.000,1.35839,1.35899,1.35814,1.35894,5554.0298
02.01.2018 19:00:00.000,1.35896,1.35962,1.35896,1.35961,4665.2202
02.01.2018 20:00:00.000,1.35961,1.36001,1.35941,1.35962,5480.1401
02.01.2018 21:00:00.000,1.35960,1.35978,1.35871,1.35889,5556.54
02.01.2018 22:00:00.000,1.35873,1.35939,1.35857,1.35900,1889.73
02.01.2018 23:00:00.000,1.35900,1.35980,1.35900,1.35939,3891.24
03.01.2018 00:00:00.000,1.35938,1.35987,1.35887,1.35952,4102.9399
03.01.2018 01:00:00.000,1.35951,1.36053,1.35882,1.36025,5264.2202
